Année;Mois;Valeur
2021;Octobre;3.59
2021;Septembre;3.59
2021;Août;3.59
2021;Juillet;3.58
2021;Juin;3.58
2021;Mai;3.57
2021;Avril;3.57
2021;Mars;3.57
2021;Février;3.56
2021;Janvier;3.56
2020;Décembre;3.55
2020;Novembre;3.55
2020;Octobre;3.54
2020;Septembre;3.53
2020;Août;3.52
2020;Juillet;3.52
2020;Juin;3.51
2020;Mai;3.52
2020;Avril;3.51
2020;Mars;3.51
2020;Février;3.52
2020;Janvier;3.52
2019;Décembre;3.53
2019;Novembre;3.53
2019;Octobre;3.53
2019;Septembre;3.52
2019;Août;3.52
2019;Juillet;3.51
2019;Juin;3.52
2019;Mai;3.52
2019;Avril;3.51
2019;Mars;3.51
2019;Février;3.51
2019;Janvier;3.51
2018;Décembre;3.51
2018;Novembre;3.51
2018;Octobre;3.51
2018;Septembre;3.51
2018;Août;3.51
2018;Juillet;3.51
2018;Juin;3.5
2018;Mai;3.5
2018;Avril;3.5
2018;Mars;3.49
2018;Février;3.49
2018;Janvier;3.49
2017;Décembre;3.49
2017;Novembre;3.48
2017;Octobre;3.48
2017;Septembre;3.48
2017;Août;3.47
2017;Juillet;3.47
2017;Juin;3.47
2017;Mai;3.47
2017;Avril;3.47
2017;Mars;3.47
2017;Février;3.46
2017;Janvier;3.46
2016;Décembre;3.48
2016;Novembre;3.48
2016;Octobre;3.47
2016;Septembre;3.47
2016;Août;3.47
2016;Juillet;3.47
2016;Juin;3.47
2016;Mai;3.47
2016;Avril;3.47
2016;Mars;3.47
2016;Février;3.46
2016;Janvier;3.46
2015;Décembre;3.46
2015;Novembre;3.45
2015;Octobre;3.46
2015;Septembre;3.46
2015;Août;3.46
2015;Juillet;3.45
2015;Juin;3.46
2015;Mai;3.46
2015;Avril;3.45
2015;Mars;3.46
2015;Février;3.45
2015;Janvier;3.45
2014;Décembre;3.48
2014;Novembre;3.48
2014;Octobre;3.48
2014;Septembre;3.47
2014;Août;3.47
2014;Juillet;3.47
2014;Juin;3.47
2014;Mai;3.48
2014;Avril;3.47
2014;Mars;3.47
2014;Février;3.48
2014;Janvier;3.48
2013;Décembre;3.48
2013;Novembre;3.48
2013;Octobre;3.48
2013;Septembre;3.48
2013;Août;3.47
2013;Juillet;3.47
2013;Juin;3.47
2013;Mai;3.47
2013;Avril;3.47
2013;Mars;3.47
2013;Février;3.48
2013;Janvier;3.47
2012;Décembre;3.51
2012;Novembre;3.5
2012;Octobre;3.49
2012;Septembre;3.47
2012;Août;3.46
2012;Juillet;3.44
2012;Juin;3.44
2012;Mai;3.44
2012;Avril;3.45
2012;Mars;3.45
2012;Février;3.45
2012;Janvier;3.43
2011;Décembre;3.43
2011;Novembre;3.43
2011;Octobre;3.44
2011;Septembre;3.44
2011;Août;3.44
2011;Juillet;3.43
2011;Juin;3.43
2011;Mai;3.42
2011;Avril;3.42
2011;Mars;3.41
2011;Février;3.41
2011;Janvier;3.39
2010;Décembre;3.38
2010;Novembre;3.37
2010;Octobre;3.36
2010;Septembre;3.35
2010;Août;3.34
2010;Juillet;3.33
2010;Juin;3.34
2010;Mai;3.35
2010;Avril;3.34
2010;Mars;3.34
2010;Février;3.34
2010;Janvier;3.34
2009;Décembre;3.34
2009;Novembre;3.35
2009;Octobre;3.35
2009;Septembre;3.35
2009;Août;3.34
2009;Juillet;3.34
2009;Juin;3.34
2009;Mai;3.34
2009;Avril;3.35
2009;Mars;3.35
2009;Février;3.35
2009;Janvier;3.35
